S,K,T,r,sigma,moneyness,market_price,optionType,moneyness_category,expirationDate
284.67999267578125,272.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.044697220828555,14.7,call,ATM,2025-12-05
284.67999267578125,275.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0351999733664772,13.3,call,ATM,2025-12-05
284.67999267578125,277.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0258738474802929,11.65,call,ATM,2025-12-05
284.67999267578125,280.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0167142595563616,10.0,call,ATM,2025-12-05
284.67999267578125,282.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.007716788232854,8.27,call,ATM,2025-12-05
284.67999267578125,285.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.998877167283443,6.76,call,ATM,2025-12-05
284.67999267578125,287.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9901912788722826,5.34,call,ATM,2025-12-05
284.67999267578125,290.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9816551471578664,4.3,call,ATM,2025-12-05
284.67999267578125,292.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9732649322248932,3.6,call,ATM,2025-12-05
284.67999267578125,295.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9650169243246822,2.7,call,ATM,2025-12-05
284.67999267578125,297.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9569075384059874,2.08,call,ATM,2025-12-05
284.67999267578125,300.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9489333089192709,1.44,call,OTM,2025-12-05
284.67999267578125,302.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9410908848786157,0.8,call,OTM,2025-12-05
284.67999267578125,305.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9333770251664959,0.78,call,OTM,2025-12-05
284.67999267578125,307.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9257885940675813,0.37,call,OTM,2025-12-05
284.67999267578125,310.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9183225570186492,0.37,call,OTM,2025-12-05
284.67999267578125,315.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9037460084945437,0.18,call,OTM,2025-12-05
284.67999267578125,320.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.8896249771118164,0.06,call,OTM,2025-12-05
284.67999267578125,195.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.4598973983373398,0.08,put,ITM,2025-12-05
284.67999267578125,225.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.2652444118923611,0.14,put,ITM,2025-12-05
284.67999267578125,230.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.2377390985903534,0.18,put,ITM,2025-12-05
284.67999267578125,240.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.1861666361490886,0.29,put,ITM,2025-12-05
284.67999267578125,245.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.161959153778699,0.32,put,ITM,2025-12-05
284.67999267578125,247.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.1502221926294192,0.44,put,ITM,2025-12-05
284.67999267578125,250.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.138719970703125,0.51,put,ITM,2025-12-05
284.67999267578125,255.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.1163921281403186,0.7,put,ITM,2025-12-05
